id,first_name,last_name,family_id,date_of_birth,rating,active
41,Halle,Kshlerin,70,2003-10-12,158,t
42,Tyrel,Herman,3,2004-10-12,0,t
43,Newell,Zboncak,87,2002-10-12,175,t
44,Haylee,O'Kon,42,2006-10-12,175,t
45,Waldo,MacGyver,57,2002-10-12,0,t
46,Mabel,Schulist,61,2004-10-12,161,t
47,Caitlyn,Kohler,100,2007-10-12,0,t
48,Elouise,Pouros,62,2008-10-12,265,t
49,Okey,Morissette,74,2004-10-12,345,t
50,Katheryn,Gleason,29,2004-10-12,178,t
51,Aniyah,Medhurst,23,2009-10-12,190,t
52,Erick,Pouros,62,2002-10-12,0,t
53,Ben,Davis,19,2008-10-12,0,t
54,Sharon,Cremin,22,2005-10-12,0,t
55,Megane,Strosin,77,2003-10-12,322,t
56,Caesar,Fritsch,8,2005-10-12,211,t
57,Adam,Pouros,62,2009-10-12,0,t
58,Khalil,Bins,91,2008-10-12,352,t
59,Jennie,Will,11,2009-10-12,284,t
60,Earlene,Mills,28,2005-10-12,0,t
61,Aracely,Deckow,97,2005-10-12,0,t
62,Brittany,Schmeler,35,2002-10-12,134,t
63,Gerry,Hermann,30,2002-10-12,319,t
64,Freddie,Monahan,48,2007-10-12,0,t
65,Henry,Schulist,61,2006-10-12,0,t
66,Lizeth,Dickinson,69,2009-10-12,0,t
67,Trycia,Mitchell,100,2008-10-12,0,t
68,Scotty,Strosin,77,2003-10-12,0,t
69,Merl,Hermann,30,2003-10-12,0,t
70,Kelley,Bernier,65,2007-10-12,0,t
71,Alexandrea,Turner,96,2002-10-12,0,t
72,Davonte,Schuster,46,2009-10-12,356,t
73,Ricardo,Kohler,100,2007-10-12,338,t
74,Walker,Kirlin,12,2003-10-12,0,t
75,Patsy,Jaskolski,4,2003-10-12,229,t
76,Wilbert,VonRueden,51,2003-10-12,0,t
77,Wilma,Kiehn,99,2005-10-12,0,t
78,Liana,Weber,1,2005-10-12,329,t
79,Leonard,Turner,96,2002-10-12,216,t
80,Arthur,Jones,76,2008-10-12,265,t
81,Kailyn,MacGyver,57,2007-10-12,0,t
82,Abraham,O'Hara,94,2003-10-12,103,t
83,Johathan,Schimmel,92,2009-10-12,0,t
84,Florian,Romaguera,66,2002-10-12,234,t
85,Mozelle,Jones,76,2007-10-12,224,t
86,Beverly,Hand,39,2008-10-12,0,t
87,Melyna,Kiehn,45,2003-10-12,0,t
88,Jayda,Schumm,11,2004-10-12,207,t
89,Aaron,MacGyver,57,2003-10-12,0,t
90,Emmalee,Mante,71,2006-10-12,0,t
91,Davin,Hintz,86,2007-10-12,0,t
92,Leola,Schuster,46,2002-10-12,232,t
93,Keely,Stracke,82,2003-10-12,134,t
94,Elenora,Schimmel,92,2003-10-12,0,t
95,Sophia,Dietrich,90,2006-10-12,229,t
96,Josefina,Wilderman,68,2003-10-12,247,t
97,Xzavier,Kertzmann,24,2009-10-12,0,t
98,Ladarius,Cremin,22,2008-10-12,169,t
99,Florence,Schuster,46,2005-10-12,112,t
100,Maia,O'Conner,81,2008-10-12,0,t
101,Floy,O'Hara,94,2003-10-12,268,t
102,Loy,Stokes,34,2004-10-12,0,t
103,Geoffrey,Barton,37,2008-10-12,0,t
104,Edna,Schimmel,92,2003-10-12,0,t
105,Gus,Koepp,67,2003-10-12,0,t
106,Ocie,Fritsch,8,2005-10-12,194,t
107,Abigayle,Barrows,40,2008-10-12,350,t
108,Hazle,Pouros,62,2003-10-12,0,t
109,Kara,Wyman,59,2005-10-12,214,t
110,Alivia,Schuster,55,2006-10-12,0,t
111,Antonette,Feeney,6,2003-10-12,0,t
112,Gennaro,Goldner,72,2002-10-12,104,t
113,Ruby,Upton,36,2003-10-12,253,t
114,Greta,Hegmann,2,2005-10-12,196,t
115,Caleb,Larson,49,2005-10-12,0,t
116,Anderson,Gleason,29,2002-10-12,0,t
117,Rosamond,Doyle,50,2007-10-12,0,t
118,Adelbert,McLaughlin,26,2003-10-12,391,t
119,Salvador,Hartmann,95,2008-10-12,0,t
120,Burley,Cremin,22,2005-10-12,0,t
121,Teresa,Huels,52,2004-10-12,0,t
122,Stewart,Sauer,67,2003-10-12,723,t
123,Maryse,Ernser,74,2006-10-12,540,t
124,Jamison,Barton,37,2002-10-12,797,t
125,Brooks,Fay,47,1999-10-12,798,t
126,Shaina,Hermiston,38,2004-10-12,588,t
127,Deron,Franecki,98,2000-10-12,545,t
128,Terrill,Zboncak,37,2004-10-12,681,t
129,Baby,Pfannerstill,43,2003-10-12,548,t
130,Turner,Strosin,77,2002-10-12,766,t
131,Shanel,Jaskolski,4,1999-10-12,582,t
132,Polly,Monahan,48,2007-10-12,731,t
133,Delphine,Kirlin,12,2005-10-12,636,t
134,Brennan,Schuster,55,2005-10-12,681,t
135,Cyril,Thompson,16,2001-10-12,588,t
136,Aric,Jacobs,46,2004-10-12,532,t
137,Jazmin,Mertz,19,2006-10-12,815,t
138,Odell,Miller,21,1999-10-12,682,t
139,Aleen,Kshlerin,70,2005-10-12,640,t
140,Delpha,Stracke,82,2006-10-12,640,t
141,Neoma,Bogisich,27,2003-10-12,721,t
142,Ewell,Oberbrunner,8,2001-10-12,662,t
143,Allan,Howe,7,2002-10-12,597,t
144,Ada,Gleason,29,1999-10-12,670,t
145,Emma,Miller,21,2004-10-12,722,t
146,Uriah,Larson,49,1999-10-12,654,t
147,Annabell,Bailey,33,2007-10-12,607,t
148,Agustina,Strosin,77,2005-10-12,550,t
149,Francis,Emard,94,2007-10-12,602,t
150,Kayden,Kohler,100,2006-10-12,601,t
151,Mariano,Bartell,51,2003-10-12,803,t
152,Dedric,Raynor,56,2002-10-12,596,t
153,Lynn,Ritchie,12,2006-10-12,561,t
154,Makenzie,Wyman,59,2002-10-12,703,t
155,Leanne,Feeney,78,2002-10-12,740,t
156,Annie,Legros,4,2002-10-12,685,t
157,Gerald,Barrows,40,2001-10-12,671,t
158,Gillian,Dickens,18,2007-10-12,580,t
159,Camilla,Kautzer,85,2003-10-12,690,t
160,Nedra,Johnston,75,2006-10-12,652,t
161,Cristal,Doyle,50,2003-10-12,1314,t
162,Russ,Monahan,48,1998-10-12,1130,t
163,Genesis,Kirlin,12,2000-10-12,1424,t
164,Violette,Lind,31,2003-10-12,1377,t
165,Vickie,Bogisich,27,2005-10-12,1493,t
166,Sydnie,Reinger,73,2006-10-12,1202,t
167,Tremayne,Bailey,33,2006-10-12,1247,t
168,Josefa,Mraz,53,1997-10-12,1414,t
169,Jamison,Gleason,29,2003-10-12,1161,t
170,Odessa,Steuber,93,2005-10-12,1090,t
171,Julius,Kiehn,45,1999-10-12,1397,t
172,Jacquelyn,Cummerata,80,2004-10-12,1335,t
173,Wilton,Hagenes,24,2004-10-12,1375,t
174,Reva,Hegmann,2,2000-10-12,1252,t
175,Kevin,Bechtelar,5,2006-10-12,1023,t
176,Rubie,Dietrich,90,2001-10-12,1191,t
177,Malachi,Romaguera,66,2006-10-12,1325,t
178,Jason,Reichel,64,2001-10-12,1396,t
179,Laverna,Erdman,17,1997-10-12,1059,t
180,Noble,Pfeffer,9,2000-10-12,1451,t
181,Dasia,Barrows,40,2005-10-12,1345,t
182,Margie,Bailey,33,1999-10-12,1299,t
183,Genevieve,Ernser,74,2000-10-12,1173,t
184,Lafayette,Hintz,86,1999-10-12,1234,t
185,Ansel,Hermann,30,2002-10-12,1304,t
186,Marian,Stokes,34,2000-10-12,1315,t
187,Emmalee,Johnston,75,1999-10-12,1327,t
188,Luciano,Upton,36,2005-10-12,1020,t
189,Winston,Schuster,46,2005-10-12,1372,t
190,Vivian,Conn,2,2004-10-12,1350,t
191,Lolita,Howe,18,2001-10-12,1083,t
192,Roy,O'Hara,94,1998-10-12,1412,t
193,Murl,Roberts,78,1998-10-12,1013,t
194,Oral,Walter,52,2005-10-12,1233,t
195,Davonte,Feeney,6,2006-10-12,1404,t
196,Araceli,Hand,39,1998-10-12,1469,t
197,Kathlyn,Murazik,79,2000-10-12,1261,t
198,Felicia,Cummerata,80,1997-10-12,1023,t
199,Lina,Romaguera,66,2003-10-12,1036,t
200,Felipe,Bins,14,1998-10-12,1024,t
201,Pearl,Herman,25,2000-10-12,1318,t
202,Breana,O'Kon,42,2002-10-12,1343,t
203,Zackery,Stokes,34,1999-10-12,1176,t
204,Ahmad,Zboncak,87,2001-10-12,1078,t
205,Myrtice,Hegmann,2,2006-10-12,1278,t
206,Odie,Pfeffer,9,2000-10-12,1050,t
207,Rex,Kiehn,99,2003-10-12,1239,t
208,Linnea,Bernier,65,2005-10-12,1205,t
209,Sandy,Herman,3,2001-10-12,1244,t
210,Ardith,Herman,3,2006-10-12,1279,t
211,Esteban,Miller,21,2001-10-12,1414,t
212,Frank,Smith,89,2001-10-12,1060,t
213,Esperanza,Hahn,61,2000-10-12,1014,t
214,Gertrude,Hand,39,2005-10-12,1090,t
215,Obie,Bogisich,27,2004-10-12,1323,t
216,Adrianna,Bogisich,27,2005-10-12,1410,t
217,Ruthe,Miller,21,2001-10-12,1003,t
218,Savanah,Schumm,11,1999-10-12,1247,t
